dLQbcccdegj, tet1: 0, tet2: 2, searched: 1, height: 1
kLLLzQPkacghgfijhjjjknqvkqqsbk, tet1: 7, tet2: 5, searched: 747, height: 3
jLLPMMPbcefegghiimjmhmbvhhj, tet1: 8, tet2: 5, searched: 205, height: 2
iLLMAMcccdfefghhibvmqntqn, tet1: 4, tet2: 6, searched: 80, height: 1
jLLALAQbddehghhiievnmunlhds, tet1: 3, tet2: 8, searched: 129, height: 2
lLLPwzQMcbcefehhijikkpkhdhhhxrnqj, tet1: 8, tet2: 3, searched: 2057, height: 4
jLLALAQbddehghhiievnmunlhdw, tet1: 3, tet2: 8, searched: 124, height: 2
iLLAMMcbdeeffghhmkuednsqw, tet1: 6, tet2: 5, searched: 2, height: 1
iLLMAMcbdedffghhmvlnhfphj, tet1: 6, tet2: 5, searched: 2, height: 1
mLLLLAwQQccfhifjhjllkldwasnfurahwws, tet1: 10, tet2: 9, searched: 734, height: 5
lLLLzAPQcbcfeihhjkikktsiphgflljvj, tet1: 9, tet2: 7, searched: 1036, height: 4
lLLLLzQQcbdfihgkjikjkmkdnknapgmef, tet1: 9, tet2: 8, searched: 1800, height: 4
kLLMvPQkccdfgjhhjijtnspsdadvsw, tet1: 9, tet2: 6, searched: 408, height: 3
lLLPMLLQccdcefgijijkkhsnpuunuguvr, tet1: 9, tet2: 4, searched: 491, height: 4
mLLLLAwQQccfhifjhjllkldwasnfurahwss, tet1: 10, tet2: 9, searched: 983, height: 5
lLLPMLwQcbcefeghikjkkmbapagplmefn, tet1: 7, tet2: 10, searched: 924, height: 4
jLLMLMQacdfhfihiinkarisorrf, tet1: 3, tet2: 7, searched: 163, height: 2
lLLALzQPcacedhghjjkjknktllorathfn, tet1: 6, tet2: 9, searched: 331, height: 4
mLLwLwQAQcedighihkkklliivowosollwhs, tet1: 11, tet2: 7, searched: 774, height: 5
lLLPMLAMcbcefeghiijkkmbapagplnxxr, tet1: 7, tet2: 10, searched: 358, height: 4
lLLLzAPQcbcfeihhjkikktsiphgfllwvj, tet1: 9, tet2: 7, searched: 992, height: 4
lLLPMLLQccdcefgijijkkhsrpuunuguvr, tet1: 9, tet2: 4, searched: 469, height: 4
nLLALMLAAkcedcggiijkklmmhqbrbgpvbtxbxn, tet1: 5, tet2: 10, searched: 472, height: 6
lLLALzQPcacedhghjjkjknktllorathfr, tet1: 6, tet2: 9, searched: 281, height: 4
lLLPvAQPcaceffgjijkjkjkxnwllwqias, tet1: 10, tet2: 6, searched: 773, height: 4
lLLALzQPcacedhghjjjkkjktlloratsxj, tet1: 6, tet2: 9, searched: 279, height: 4
jLLAzPQcedcfhihiihqvrjihimc, tet1: 5, tet2: 7, searched: 21, height: 2
lLLMLMwQccddefgihkjkkigvhgflhmxwn, tet1: 6, tet2: 10, searched: 3106, height: 4
lLLPMLLQccdcefgijijkkqsjpuunugucn, tet1: 9, tet2: 4, searched: 332, height: 4
iLLAAMcbcdeffghhmjkmqwaqn, tet1: 5, tet2: 2, searched: 211, height: 1
lLLPvAQPcaceffgjijkjknkxnwllwqias, tet1: 10, tet2: 6, searched: 885, height: 4
jLLAzPQaedefhiihinxahfqgfof, tet1: 8, tet2: 4, searched: 2053, height: 2
mLLALPLMQbdcefhhjkkllldwnxjxlvgjaph, tet1: 11, tet2: 8, searched: 2265, height: 5
jLLAzPQcedcfhihiiqqvjjihimc, tet1: 5, tet2: 7, searched: 21, height: 2
lLLLMvQQcbcdgghikjkkjtsndwexfvksn, tet1: 9, tet2: 6, searched: 735, height: 4
jLLMLMQacdfhfihiijkarisorrf, tet1: 3, tet2: 7, searched: 288, height: 2
mLvLMMLQQbdhgihjkkklllefikbvqidqqsb, tet1: 5, tet2: 10, searched: 1573, height: 5
nLLMLMwzQkcddefgihllmlmmigvhgflhesqsqa, tet1: 8, tet2: 12, searched: 5096, height: 6
jLvAMQPcdefgfghiiivpuongjqn, tet1: 7, tet2: 4, searched: 35, height: 2
mLLPLAPMPcdcfhfgjijkllhframffwfsuhn, tet1: 10, tet2: 6, searched: 1150, height: 5
lLLPMLLQccdcefgijijkkqsjpuunugucj, tet1: 9, tet2: 4, searched: 402, height: 4
jLLLLQQccfhhigihidwankrbrwo, tet1: 7, tet2: 6, searched: 59, height: 2
jLvMAQPbfdgefghiimefhibnehk, tet1: 6, tet2: 3, searched: 15, height: 2
lLLPLMPPccdcfhfihjjkkqsnamfhinsxj, tet1: 8, tet2: 7, searched: 272, height: 4
jLLALMQbedeghgiiihhntwccaua, tet1: 5, tet2: 7, searched: 78, height: 2
jLvAMQPcdefgfghiiivpuongjqj, tet1: 7, tet2: 4, searched: 34, height: 2
kLLLMAPkccfgfhgjijjdwamrswhubk, tet1: 7, tet2: 9, searched: 306, height: 3
jLLLAPQcedfgghhiiiisaqsmhwn, tet1: 8, tet2: 7, searched: 51, height: 2
kLLAMLAkbcdefghiijjhkvhqtjnwis, tet1: 2, tet2: 9, searched: 1601, height: 3
lLLzAPMMcaceeghgiijkknvxcthuovqxj, tet1: 8, tet2: 7, searched: 493, height: 4
iLLPLQcacefggghhnkxoalepj, tet1: 1, tet2: 3, searched: 2, height: 1
iLLALQcbcedhfghhpfxfxjjxa, tet1: 5, tet2: 3, searched: 8, height: 1
iLLMPMcbdedggghhmjufwnjhs, tet1: 0, tet2: 2, searched: 1, height: 1
kLLLMAPkccfgfhgijjjdwamrswapsk, tet1: 8, tet2: 7, searched: 508, height: 3
iLLMPPcbdedggghhmjufwnohk, tet1: 0, tet2: 2, searched: 1, height: 1
mLLwLwAQQcedfijkklijlldhvgkamitcpjr, tet1: 3, tet2: 11, searched: 2859, height: 5
kLLLzMQkcddgfjihijjhoggfphgimo, tet1: 5, tet2: 8, searched: 114, height: 3
jLLLPMQbddfghhihimknnnkcmwj, tet1: 6, tet2: 8, searched: 85, height: 2
jLvLMQQbdegfihhiimfhsbggooo, tet1: 0, tet2: 7, searched: 26, height: 2
