dLQbcccdegj, tet1: 0, tet2: 2, searched: 1, height: 1
nLALLPwQzkbcbegighkjklmmhxjvaivvvrndqw, tet1: 11, tet2: 7, searched: 2207, height: 5
lLLzLPQPccdcggjhijkkkhsrsoaohhwvs, tet1: 10, tet2: 7, searched: 164, height: 3
mLLALPLPQacdefghjkklllnkdxpvnqbjmte, tet1: 7, tet2: 11, searched: 3966, height: 4
mLALLPLMQbcbfgigiklkllxhnptwrolrwjg, tet1: 10, tet2: 6, searched: 1229, height: 4
mLALLPLAQbcbegigjikkllxxjnaivqmjnhk, tet1: 7, tet2: 9, searched: 301, height: 4
pLLAPzLLPPQbcedgfhjkkloonnolsajjjlclagpqfka, tet1: 10, tet2: 14, searched: 8491, height: 7
mLLLMPzPQcedfegijkkkllphrlnrthrsbvj, tet1: 10, tet2: 7, searched: 1063, height: 4
oLLAzAzLAQcacdeghgjjlmmnnnjkadenolbpplrnv, tet1: 9, tet2: 12, searched: 1760, height: 6
nLALLPwQzkcbbegighkjklmmqhkvaivvvrndqw, tet1: 11, tet2: 7, searched: 1051, height: 5
mLALzMLMQbcbefhikkjlklxxjnxvhdinqck, tet1: 9, tet2: 6, searched: 677, height: 4
jLLLQPPbdeegfghiimwlxifbmqw, tet1: 1, tet2: 7, searched: 1, height: 1
kLLAzPAkcddeghghijjtsvandrinxj, tet1: 7, tet2: 9, searched: 58, height: 2
nLLLPwMPMkceffgehkkjllmmuhtturblwsmqfr, tet1: 10, tet2: 6, searched: 2617, height: 5
jLAvLQQcbbfhggiiiqqnxagkbvo, tet1: 7, tet2: 6, searched: 11, height: 1
jLAvMAQbcbggfhiiihhjdhqfuhd, tet1: 4, tet2: 8, searched: 10, height: 1
mLLwvQAQPacejhjihikjlljktlixmkbhjhr, tet1: 11, tet2: 7, searched: 288, height: 4
lLALLMzQccbbegfijikkkqqnnawpdqwcj, tet1: 10, tet2: 6, searched: 223, height: 3
mLLwvQAQPacejhjihikjllnktlixmkbxjxk, tet1: 11, tet2: 7, searched: 1111, height: 4
mLLPMLLQPcdcefgijijkllqsjpuunugucqs, tet1: 10, tet2: 5, searched: 246, height: 4
mLLwvQAQPacejhjihikjlljktlixmkbhjqj, tet1: 11, tet2: 7, searched: 288, height: 4
mLLwvQAQPacejhjihikjllnktlixmkbxjqj, tet1: 11, tet2: 7, searched: 828, height: 4
lLALzMzQccbbegfijikkkhhkohntlacsr, tet1: 6, tet2: 10, searched: 138, height: 3
mLLPMLLQPcdcefgijijkllqsjpuunugucxk, tet1: 10, tet2: 5, searched: 378, height: 4
lLLLMvQQcbcdggihjjkjktsnaouagkkrs, tet1: 6, tet2: 8, searched: 143, height: 3
kLLLMMPkbedefhijiijmqfecsaxuan, tet1: 4, tet2: 8, searched: 125, height: 2
iLLAPMccdedfgghhdsxobcodw, tet1: 7, tet2: 2, searched: 135, height: 0
mLLvwPAQQachfjhkiklklljktkqtemsongj, tet1: 9, tet2: 6, searched: 1676, height: 4
kLLALzQkcdecfgjjiijhsxncoefsbc, tet1: 7, tet2: 4, searched: 995, height: 2
lLLLMwQMcccfeghihijkkdwatwvqnlnqj, tet1: 9, tet2: 8, searched: 578, height: 3
kLLPPLAkccffegihhjjibaaqbqqwqn, tet1: 8, tet2: 6, searched: 111, height: 2
lLLLMwQMcccfeghihijkkdwatwvqnlnxk, tet1: 9, tet2: 8, searched: 578, height: 3
mLALvwAQQcbbehhiklkllkhhkocnwllpbkb, tet1: 6, tet2: 9, searched: 839, height: 4
lLLLzAAQcacfghihijkkkjkojammxwvfn, tet1: 6, tet2: 9, searched: 668, height: 3
kLLMzAPkacefghhiijjjktfqlxcvqr, tet1: 5, tet2: 7, searched: 851, height: 2
lLLLAPwQcacdfgghikjkknkwrjfueadnf, tet1: 9, tet2: 8, searched: 708, height: 3
lLLMLMPMccddefgiijjkkigvhgflrsjdj, tet1: 5, tet2: 10, searched: 5501, height: 3
jLLPLQPbcefhfghiipfetbsrsqj, tet1: 8, tet2: 0, searched: 5, height: 1
pLALLvALPQQbcbfgkijkommmnooxxnxaabxrwffsfrj, tet1: 12, tet2: 5, searched: 3790, height: 7
lLLLzQLQcacfghfikkjjknkvvakqwrgjc, tet1: 7, tet2: 8, searched: 336, height: 3
kLLALzQkbdedghihjjjljasjhptnwc, tet1: 9, tet2: 6, searched: 3776, height: 2
jLLLAQPccfeggfhiidwqhxojdxj, tet1: 8, tet2: 7, searched: 2, height: 1
lLLLPzMQccceghihkjjjklnmlodnhqfww, tet1: 9, tet2: 7, searched: 198, height: 3
mLLLvQMAQbddfghjkkkjllmbfbofulqnvir, tet1: 4, tet2: 11, searched: 376, height: 4
jLLLAQPccfeggfhiidwhhxordxj, tet1: 8, tet2: 7, searched: 2, height: 1
lLLALMzQcbdedghihjkkklwaowddtnlmt, tet1: 5, tet2: 8, searched: 3545, height: 3
kLLLAwQkaceeghihijjnkwcklixswr, tet1: 9, tet2: 8, searched: 98, height: 2
kLLwMMAkacefgghiijjnktrlxmssas, tet1: 7, tet2: 3, searched: 791, height: 2
lLLLzPPQcacfgfijhjkkknkvvkqqwcgjk, tet1: 5, tet2: 9, searched: 268, height: 3
lLLMLzAQcbceefghikjkktruxvfbunvfb, tet1: 9, tet2: 7, searched: 282, height: 3
lLLLPzMQccceghihkjjjklnmlodnxqfwn, tet1: 9, tet2: 7, searched: 198, height: 3
lLLLAPwQcacdfgghikjkkjkwrjfueadnf, tet1: 9, tet2: 8, searched: 764, height: 3
lLLLPzMQccceghihkjjjktnmdodnhqfwr, tet1: 9, tet2: 7, searched: 199, height: 3
kLLMzAPkacefghhiijjjktfqlxcvhj, tet1: 5, tet2: 7, searched: 1452, height: 2
lLLLAPzQcbdegghgikkkjtvuqmaosathw, tet1: 7, tet2: 8, searched: 1977, height: 3
lLvALMPQcbefehiikjjjkdmmdrrfxaedj, tet1: 5, tet2: 10, searched: 117, height: 3
lLLLAPPPcadeeggijijkkjmxssolrvflr, tet1: 6, tet2: 8, searched: 141, height: 3
mLLPLvQPQbcdefjhikjlllpkfpwduccjumu, tet1: 8, tet2: 11, searched: 3334, height: 4
nLvALLMPQkcdeghijmmlklmlivporvueeunnjo, tet1: 1, tet2: 10, searched: 8008, height: 5
jLLAzMQcdecfghiiiqsenwohajk, tet1: 2, tet2: 3, searched: 3, height: 1
jLLAzAQcdecgghiiiqsenwotakj, tet1: 2, tet2: 3, searched: 3, height: 1
jLLLLQQacfghggiiijkggakolrf, tet1: 0, tet2: 7, searched: 3, height: 1
kLLPLQzkccffhgghijjibaawbrgaqj, tet1: 6, tet2: 8, searched: 134, height: 2
lLLLMLQPcbdfggfjiikkkdwqhwnmxtvco, tet1: 8, tet2: 6, searched: 402, height: 3
mLALvwAQQcbbehhiklkllkhhrocnwllpbkb, tet1: 6, tet2: 9, searched: 804, height: 4
mLLLLMzQQccffijhkjjklldwarbpgxedxkj, tet1: 9, tet2: 11, searched: 2234, height: 4
mLLAPLLPQbdcegfhjjklllevsufglgciiok, tet1: 8, tet2: 11, searched: 2052, height: 4
mLLvPLPQQcdggjkhlljilkusujtebuipjfn, tet1: 9, tet2: 8, searched: 3123, height: 4
lLvLLAQQcbdhjfjkjhkikmfwobfpwjxrh, tet1: 6, tet2: 9, searched: 7996, height: 3
kLLwMMAkacefgghiijjjktrlxmssas, tet1: 7, tet2: 3, searched: 768, height: 2
kLLLwQMkccfeggiijijdwahcbdlxlk, tet1: 7, tet2: 9, searched: 88, height: 2
lLLAMLzQcacedfgijijkknkimmquobomw, tet1: 8, tet2: 5, searched: 248, height: 3
jLLAwMQbeedfghiiihhmkasxhks, tet1: 6, tet2: 5, searched: 13, height: 1
mLLLLAAMQbceifgjikkllltjdjjnuoeefrf, tet1: 6, tet2: 9, searched: 3099, height: 4
kLLLwQMkccfeggiijijdwahcbdlqlj, tet1: 7, tet2: 9, searched: 88, height: 2
lLLLMLQPcbdfggfjiikkkdwqhwjmxtvco, tet1: 8, tet2: 6, searched: 390, height: 3
lLLAMLzQcacedfgijijkknkimmquobodn, tet1: 8, tet2: 5, searched: 248, height: 3
lLLLzPPQcacfgfijhjkkknkvvkqqscgjk, tet1: 5, tet2: 9, searched: 374, height: 3
nLLzwwAPQkcdcefhjjlklmmmhsrqkqqsxjamif, tet1: 12, tet2: 7, searched: 1401, height: 5
jLLALMQbcedghhihipfxfcehatr, tet1: 7, tet2: 2, searched: 580, height: 1
nLLPzLzPQkacedghilkjlmmmjkxsmxrhishskc, tet1: 12, tet2: 8, searched: 1757, height: 5
jLLMvQQbcdfihgihixsrmehfdto, tet1: 8, tet2: 0, searched: 5, height: 1
nLLzwwAPQkcdcefhjjlklmmmqsjqkqqsxjamif, tet1: 12, tet2: 7, searched: 1851, height: 5
lLLPLPMMcbcefghihijkkmjmhwvmfibhs, tet1: 4, tet2: 8, searched: 5926, height: 3
lLLMLMzQccddefghjijkkigvhgfmssouw, tet1: 8, tet2: 6, searched: 640, height: 3
jLLLPPQbdehfihgiidwadgxkjae, tet1: 8, tet2: 2, searched: 6, height: 1
kLLAvAQkccedhgiijijlneguoaervr, tet1: 7, tet2: 5, searched: 24, height: 2
mLLLAPLAQbdegghgikklkltvmqmaonamxer, tet1: 8, tet2: 9, searched: 1306, height: 4
mLLPzwMPQacedggjiklkklnkxsmqobhmxlj, tet1: 7, tet2: 10, searched: 1094, height: 4
kLLzLMQkccdifhhijjjpormfbohahg, tet1: 9, tet2: 6, searched: 124, height: 2
lLLLMvQQcacgehghkkjjknkgbdvmkgnrj, tet1: 9, tet2: 8, searched: 506, height: 3
iLLvQQccdfhgeghhdgapgnwwg, tet1: 6, tet2: 2, searched: 130, height: 0
kLLLMwQkbdeeghihjjjxnidvrhwifk, tet1: 9, tet2: 5, searched: 241, height: 2
lLLPLLPQcccffhjhiijkkibaawasdunww, tet1: 7, tet2: 8, searched: 1790, height: 3
lLLLwAPQcccfgighkjkjkdwaqhrkaebgs, tet1: 9, tet2: 8, searched: 579, height: 3
kLLLAwQkcddefghijjjhswtnrucrfr, tet1: 8, tet2: 5, searched: 201, height: 2
kLLzLAQkccdifghjijjpormfvoxuao, tet1: 7, tet2: 6, searched: 126, height: 2
lLLLMvQQcacgehghkkjjkjkgbdvmkgnrj, tet1: 9, tet2: 8, searched: 588, height: 3
lLLPLPMMcbcefghihijkkmjmhwvmfighk, tet1: 8, tet2: 5, searched: 6970, height: 3
jLLPPLQccdegfhiiipkrajvqlbn, tet1: 6, tet2: 8, searched: 2, height: 1
lLLMvAMQcacefiijkkjkjnktflxfmqkiv, tet1: 5, tet2: 8, searched: 1488, height: 3
mLLMLwAQPcddefghjijklligvhgfhowwhqw, tet1: 6, tet2: 11, searched: 1201, height: 4
nLLvMAMMAkcdghgfjkijllmmlopkvfpakdbwlw, tet1: 11, tet2: 7, searched: 8486, height: 5
kLLALzQkbdedfghjijjendonsewkvs, tet1: 5, tet2: 7, searched: 184, height: 2
mLLPLvQPQbcdefjhikjlllpkfpwduccrumu, tet1: 8, tet2: 11, searched: 1789, height: 4
mLLALALPQcddeghgjjklllhcrajiojohmwn, tet1: 7, tet2: 9, searched: 1133, height: 4
kLLPvMQkccefhgjhijjlneaonqcuwn, tet1: 9, tet2: 6, searched: 22, height: 2
lLLMLMzQccddefghjijkkigvhgfmssouj, tet1: 8, tet2: 6, searched: 760, height: 3
lLLwLAPQccedfhgikijkkdpvgoowpcajo, tet1: 9, tet2: 6, searched: 7658, height: 3
kLLLwMQkbdeegihjijjmwlxolkixdk, tet1: 0, tet2: 7, searched: 133, height: 2
kLLAvAQkccedhgiijijlneguoaervn, tet1: 7, tet2: 5, searched: 24, height: 2
mLLMLwAQPcddefghjijklligvhgfhowwxqn, tet1: 8, tet2: 11, searched: 997, height: 4
mLLvPPPMQaceihgkhjlkllnkrqagalgloia, tet1: 7, tet2: 11, searched: 9826, height: 4
lLvLAMPQcaegehiikjjkkjxwbrmaeiqbo, tet1: 9, tet2: 5, searched: 245, height: 3
mLLMLwAPQcddefghjjlkkligvhgfhowqxjj, tet1: 11, tet2: 6, searched: 831, height: 4
lLLAzzQMcccedghhijjkkubecjeexvwar, tet1: 7, tet2: 8, searched: 1598, height: 3
nLLwwMAPAkacefigjhkjklmmjktriawndouvhw, tet1: 12, tet2: 9, searched: 3077, height: 5
jLLLMAQbdegfhhiiidwapgwcixe, tet1: 5, tet2: 7, searched: 14, height: 1
jLLLPPQbdehfihgiidwadgxkkae, tet1: 8, tet2: 2, searched: 6, height: 1
lLvLAMPQcaegehiikjjkknxwbrmaeiqbo, tet1: 9, tet2: 5, searched: 263, height: 3
lLvLAwQQcbdhefjkhkijkpfhdclijdwnv, tet1: 10, tet2: 6, searched: 300, height: 3
mLLMLwAPQcddefghjjlkkligvhgfhowqxwj, tet1: 11, tet2: 6, searched: 1012, height: 4
jLLLAPQcedgfghhiiiifdxjmxrj, tet1: 7, tet2: 6, searched: 2, height: 1
jLLLMQPbdegfhghiimvmtnoorpj, tet1: 8, tet2: 7, searched: 2, height: 1
lLvLAMAQcaegffihjjkkkjxgwwxcxhgck, tet1: 6, tet2: 8, searched: 343, height: 3
lLLMLMzQccddefghikjkkigvhgfmvmnem, tet1: 8, tet2: 6, searched: 761, height: 3
kLLzLAQkaceihihjhjjnkxuittfovr, tet1: 4, tet2: 9, searched: 104, height: 2
jLLLMPQccfehghiiiijatrfbail, tet1: 0, tet2: 2, searched: 1, height: 1
jLLLAAQbcfgehgiiitsttumcabk, tet1: 8, tet2: 5, searched: 14, height: 1
lLvAPzPQccdchghijjkkkhvnwjbmttfwf, tet1: 10, tet2: 6, searched: 993, height: 3
lLLLAPMPcbdegghgijjkktvuqmaoumhwr, tet1: 9, tet2: 5, searched: 743, height: 3
kLLLMPPkccfegigjjijdwaiwaslqhn, tet1: 9, tet2: 8, searched: 107, height: 2
jLLvQMQcdehfghihiifeuwwwxbn, tet1: 2, tet2: 7, searched: 4, height: 1
lLLvAPPQcceghhgjjikkkutaajvlucups, tet1: 8, tet2: 7, searched: 9139, height: 3
kLLLPzQkbdehfgihijjtvudgjhnisr, tet1: 4, tet2: 7, searched: 87, height: 2
lLvALMMQccdefgihijjkkdvpjvfgwihor, tet1: 7, tet2: 8, searched: 448, height: 3
lLLvAMPQccdhfhgkjjkkjtkxqccadpgjv, tet1: 5, tet2: 10, searched: 8051, height: 3
kLLAwMPkbeedfgijjijhupkastbjcs, tet1: 8, tet2: 7, searched: 257, height: 2
kLvLMAQkbdegfhhjjijmfiwbcoihjm, tet1: 5, tet2: 8, searched: 23, height: 2
lLLzPPLQccdchghiijkkkhsnwbcaimgno, tet1: 10, tet2: 6, searched: 1244, height: 3
nLvLLMzQQkbdgfjikljmkllmpfgccsidflpxck, tet1: 7, tet2: 10, searched: 5470, height: 5
lLvLAMAQcbdhefgijijkkpfhdcbpumcwn, tet1: 7, tet2: 8, searched: 894, height: 3
kLvALAQkbefehgijjjilaitkgfmhir, tet1: 6, tet2: 7, searched: 198, height: 2
mLLMvAPAQacefihihjkklljktfltjnbulsj, tet1: 10, tet2: 6, searched: 1238, height: 4
jLLLAPQcedgfghhiiiifdxjmxwn, tet1: 7, tet2: 6, searched: 2, height: 1
kLvLMAQkbdegfhijiijmfdkbcfinwn, tet1: 9, tet2: 5, searched: 44, height: 2
kLLwLPQkcedhjiggijjiivgekwnghl, tet1: 6, tet2: 9, searched: 162, height: 2
kLLLLQAkccfgeihhijjdwabjfbwwmk, tet1: 7, tet2: 9, searched: 232, height: 2
jLLvQMQcdehfghihiifeuwwwxbr, tet1: 2, tet2: 7, searched: 4, height: 1
kLLwLPQkcedhjiggijjiivgekrjghl, tet1: 9, tet2: 5, searched: 162, height: 2
kLLLLQAkccfgeihhijjdwabjfbwwmr, tet1: 7, tet2: 9, searched: 232, height: 2
jLLLAMQcddefhhiiilrsmnmppuc, tet1: 1, tet2: 8, searched: 1, height: 1
lLLLMvQQcacfgfihjjkjkjkgsrplfwbfj, tet1: 10, tet2: 7, searched: 1016, height: 3
kLLALAAkceddfghiijjtivnsnlqwas, tet1: 7, tet2: 6, searched: 196, height: 2
mLLwLAMQPcedfhgiijjklldlvgbonjpqfxr, tet1: 9, tet2: 6, searched: 5458, height: 4
lLvLLAQQcbdhfgjikijkkpffcgcweofhx, tet1: 10, tet2: 3, searched: 158, height: 3
lLLLPwPQcbdehfhjijkkkenihkjiimoko, tet1: 6, tet2: 10, searched: 1035, height: 3
nLvAvzPQQkcdchjihillkmmmhvrbexgxvcbfwf, tet1: 9, tet2: 11, searched: 7874, height: 5
lLLLPwPQcbdehfhjijkkkdruhgkiimoko, tet1: 6, tet2: 10, searched: 822, height: 3
kLLvAAQkcdfehijhjijhsaunpqoplw, tet1: 2, tet2: 8, searched: 3646, height: 2
lLvALwQQcbeffgijijjkkhaehfvdgelhj, tet1: 9, tet2: 5, searched: 258, height: 3
lLLzzMPQccdegfjhikkjkhoahfpfudojv, tet1: 8, tet2: 3, searched: 256, height: 3
kLvALMQkcdeihhgijjjdvuvjjobqpu, tet1: 3, tet2: 7, searched: 2181, height: 2
lLvLAMAQcbdhefgijijkkpfhdcbpumcwj, tet1: 7, tet2: 8, searched: 1082, height: 3
kLvALMQkcdegfhijjijivpocvfieoe, tet1: 7, tet2: 4, searched: 17, height: 2
jLLALMQbddehgihiimkcdinqtaw, tet1: 7, tet2: 6, searched: 2, height: 1
jLLALPQbdedgihhiimkxwwqhqqw, tet1: 8, tet2: 7, searched: 14, height: 1
lLLLLMMQcacggfjhkijjkjkojbedsbbjw, tet1: 10, tet2: 7, searched: 1205, height: 3
lLLPLwAQcbcdefhjhkjkkpkfpwixuiotl, tet1: 10, tet2: 6, searched: 946, height: 3
kLLLLMQkccfghjiihijdwavwhrwkww, tet1: 9, tet2: 8, searched: 180, height: 2
kLLLzPQkccfejhjhiijdwauxfenixo, tet1: 8, tet2: 7, searched: 55, height: 2
kLLLLMQkccfghjiihijdwavwhrwkwj, tet1: 9, tet2: 8, searched: 180, height: 2
mLvLMPPAQbdhhfjikjikllmflbbdnqufbvw, tet1: 6, tet2: 10, searched: 7194, height: 4
jLLLMPQccfehghiiiijatrfbmae, tet1: 5, tet2: 4, searched: 1, height: 1
kLvLPMQkbdhgfijgjijpfprcgurdjd, tet1: 5, tet2: 8, searched: 122, height: 2
lLvLPPMQcbdefghikjkjkpficrrcmuixv, tet1: 7, tet2: 8, searched: 1075, height: 3
kLLLMAPkbedefghijjjmmfiwokddcv, tet1: 2, tet2: 8, searched: 40, height: 2
lLLvMPPQccdfhgihjikkkhsabbnbanqvg, tet1: 5, tet2: 8, searched: 374, height: 3
kLvLAAQkbdhggfiiijjmfaarbpxlqj, tet1: 9, tet2: 6, searched: 99, height: 2
jLLLMPQcedgfhhiiiiiftcgolxx, tet1: 1, tet2: 4, searched: 2, height: 1
kLvLMMQkbdhgfjhijijpfakcinouot, tet1: 9, tet2: 6, searched: 62, height: 2
kLLwvQQkcedghjijijiqdvffarqodo, tet1: 4, tet2: 7, searched: 38, height: 2
