iLLALQcccdeggfhhivvxokjdk | Same Shape: False | Small Shape: True | [(5, 4)] | [-z^7 + 3*z^6 - 3*z^4 - 2*z^3 + z + 1, -z^7 + 5*z^6 - 8*z^5 + 5*z^4 - 3*z^3 + z^2 + 3*z - 1, 2*z^7 - 9*z^6 + 13*z^5 - 9*z^4 + 8*z^3 - 4*z^2 - z - 1, -7/9*z^7 + 17/9*z^6 + z^5 - 20/9*z^4 - 1/3*z^3 - 22/9*z^2 - z - 2/9, -3*z^7 + 14*z^6 - 22*z^5 + 19*z^4 - 19*z^3 + 11*z^2 - z + 5, -31/109*z^7 + 142/109*z^6 - 217/109*z^5 + 157/109*z^4 - 118/109*z^3 + 34/109*z^2 + 95/109*z + 11/109, -z^7 + 4*z^6 - 3*z^5 - 2*z^4 - 2*z^3 + 4*z^2 + 2*z - 1, -2/27*z^7 + 19/27*z^6 - 5/3*z^5 + 20/27*z^4 - 2/9*z^3 + 31/27*z^2 + 4/3*z + 20/27] 
jLLLLQQbddhfiggiipkfjcajkux | Same Shape: False | Small Shape: True | [(6, 2)] | [-z^7 + 5*z^6 - 8*z^5 + 5*z^4 - 3*z^3 + z^2 + 3*z - 1, -7/9*z^7 + 17/9*z^6 + z^5 - 20/9*z^4 - 1/3*z^3 - 22/9*z^2 - z - 2/9, -3*z^7 + 14*z^6 - 22*z^5 + 19*z^4 - 19*z^3 + 11*z^2 - z + 5, -z^7 + 4*z^6 - 5*z^5 + 4*z^4 - 4*z^3 + z + 1, 35/109*z^7 - 199/109*z^6 + 354/109*z^5 - 230/109*z^4 + 84/109*z^3 + 46/109*z^2 - 160/109*z + 79/109, -50/27*z^7 + 151/27*z^6 - 5/3*z^5 - 40/27*z^4 - 23/9*z^3 - 89/27*z^2 - 5/3*z - 13/27, -31/109*z^7 + 142/109*z^6 - 217/109*z^5 + 157/109*z^4 - 118/109*z^3 + 34/109*z^2 + 95/109*z + 11/109, -z^7 + 4*z^6 - 3*z^5 - 2*z^4 - 2*z^3 + 4*z^2 + 2*z - 1, -2/27*z^7 + 19/27*z^6 - 5/3*z^5 + 20/27*z^4 - 2/9*z^3 + 31/27*z^2 + 4/3*z + 20/27] 
iLLALQcccdeggfhhivvxokjls | Same Shape: False | Small Shape: True | [(5, 4)] | [z^5 - 3*z^4 + z^3 + z^2 + z + 2, -2*z^8 + 9*z^7 - 10*z^6 - z^5 + 2*z^4 - 6*z^3 + 11*z^2 + 2*z + 1, 3*z^8 - 13*z^7 + 13*z^6 + 2*z^5 + 2*z^4 + 6*z^3 - 16*z^2 - 5*z - 7, -11/5*z^8 + 53/5*z^7 - 16*z^6 + 58/5*z^5 - 62/5*z^4 + 4*z^3 + 24/5*z^2 + 12/5*z + 14/5, -4*z^8 + 19*z^7 - 24*z^6 + 3*z^5 - 11*z^3 + 27*z^2 + 2*z + 10, -133/389*z^8 + 596/389*z^7 - 639/389*z^6 - 134/389*z^5 + 161/389*z^4 - 456/389*z^3 + 807/389*z^2 + 309/389*z + 246/389, -z^8 + 4*z^7 - 3*z^6 - z^5 - 3*z^4 - 3*z^3 + 9*z^2 + 3*z, -2/5*z^8 + 6/5*z^7 - 9/5*z^5 + 6/5*z^4 - 2*z^3 + 8/5*z^2 + 4/5*z + 3/5] 
jLLAzPQccdegfihiiivvxwjqpvf | Same Shape: False | Small Shape: True | [(6, 2)] | [-2*z^8 + 9*z^7 - 10*z^6 - z^5 + 2*z^4 - 6*z^3 + 11*z^2 + 2*z + 1, 3*z^8 - 13*z^7 + 13*z^6 + 2*z^5 + 2*z^4 + 6*z^3 - 16*z^2 - 5*z - 7, -4*z^8 + 19*z^7 - 24*z^6 + 3*z^5 - 11*z^3 + 27*z^2 + 2*z + 10, -112/389*z^8 + 420/389*z^7 - 231/389*z^6 + 10/389*z^5 - 970/389*z^4 + 5/389*z^3 + 741/389*z^2 + 424/389*z + 1108/389, -2/5*z^8 + 11/5*z^7 - 4*z^6 + 16/5*z^5 - 14/5*z^4 + 2*z^3 + 3/5*z^2 + 4/5*z - 2/5, 4*z^8 - 8*z^7 - 5*z^6 + z^5 + 3*z^4 + 11*z^3 + 8*z^2 + 4*z + 1, -133/389*z^8 + 596/389*z^7 - 639/389*z^6 - 134/389*z^5 + 161/389*z^4 - 456/389*z^3 + 807/389*z^2 + 309/389*z + 246/389, -z^8 + 4*z^7 - 3*z^6 - z^5 - 3*z^4 - 3*z^3 + 9*z^2 + 3*z, -2/5*z^8 + 6/5*z^7 - 9/5*z^5 + 6/5*z^4 - 2*z^3 + 8/5*z^2 + 4/5*z + 3/5] 
gLLAQbedeffftugihus | Same Shape: False | Small Shape: True | [(4, 0)] | [5*z^3 - 8*z^2 - 3*z + 14, z^3 - z^2 - 2*z + 1, z - 1, z^3 - 2*z^2 + z + 1, z^3 - z^2 + 1, 4/5*z^3 - z^2 - z + 7/5] 
hLLAMkbcdefggghkvhqtxh | Same Shape: False | Small Shape: True | [(6, 0)] | [z^3 - z^2 - 2*z + 4, z^2 - z, z^3 - z^2 - 2*z + 3, -1/5*z^3 + 4/5*z^2 - 3/5*z - 2/5, z^3 - z^2 - 2*z + 2, 16/35*z^3 - 19/35*z^2 - 22/35*z + 52/35, z^3 - z + 1] 
hLvMQkbefefgfgpamtmpcj | Same Shape: False | Small Shape: True | [(3, 5)] | [z, -16*z^4 + 60*z^3 - 65*z^2 + 34*z - 7, -32*z^4 + 136*z^3 - 174*z^2 + 81*z - 15, -16*z^4 + 60*z^3 - 65*z^2 + 30*z - 5, -368/5*z^4 + 1332/5*z^3 - 1283/5*z^2 + 499/5*z - 73/5, -128*z^4 + 432*z^3 - 356*z^2 + 133*z - 19, -48*z^4 + 180*z^3 - 187*z^2 + 78*z - 13] 
hLLPMkcdefffggdvalarbw | Same Shape: False | Small Shape: True | [(3, 6)] | [z, -16*z^4 + 60*z^3 - 65*z^2 + 34*z - 7, -64*z^4 + 224*z^3 - 200*z^2 + 75*z - 11, -128*z^4 + 432*z^3 - 356*z^2 + 133*z - 20, -48*z^4 + 196*z^3 - 239*z^2 + 115*z - 22, -48*z^4 + 180*z^3 - 187*z^2 + 78*z - 13, -16*z^4 + 284/5*z^3 - 53*z^2 + 109/5*z - 16/5] 
iLLLAQcbcegffghhpwmaqwbmk | Same Shape: False | Small Shape: True | [(2, 3)] | [z, -32*z^4 + 136*z^3 - 174*z^2 + 81*z - 15, -16*z^4 + 60*z^3 - 65*z^2 + 30*z - 5, -128*z^4 + 432*z^3 - 356*z^2 + 133*z - 19, -48*z^4 + 180*z^3 - 187*z^2 + 78*z - 13, -48*z^4 + 196*z^3 - 239*z^2 + 115*z - 23, -32*z^4 + 104*z^3 - 86*z^2 + 31*z - 4, -32*z^4 + 136*z^3 - 174*z^2 + 81*z - 14] 
iLLzMQccdefghghhdwadofwfn | Same Shape: False | Small Shape: True | [(6, 4)] | [z - 1, z - 2, 1/2*z - 1/2, 2*z - 1, 2/5*z - 1/5, 1/4*z - 3/4, 2*z + 2, 1/5*z - 2/5] 
