0,kLLAzPAkccedghghijjubecjegeoqw,4
0,kLLLzQPkacghgfijhjjnknxvkqqrbk,3
0,lLAvMwAQcbcbggfhjkjkkxhjihpruvogv,4
0,mLLPLzPQPccfefihkikklldvpewaclxvsxr,5
0,mLLALPzAQceddfhihkklkltivnslmllxxek,5
0,lLLPwzQMcbcefehhijikkpkhdhhhxrnhr,4
0,mLLALPLMQbdcefhhjkkllldwnxjxlvgjaph,5
0,mLLPLzMAQcdcfhgikjjkllqsjamrioccrmw,5
0,mLAwLALMQcbbdhhgijklllhhkxiqesdcbbo,4
0,nLALvAzQPkbcbeigilkjmmlmhxjnnoblpupenu,5
0,nLALvAzQPkbcbeigilkjmmlmhxwnnoblpupenu,5
0,mLALLALPQbcbefghkjlkllxxjwxbwpomfxx,4
0,oLLzLMLQMMccdcgfjkljkllmnnhsrsfpahdosghxr,6
0,oLLzLMLQMMccdcgfjkljkllmnnqsjsfpahdosghxr,6
0,nLLAvLMQPkceddiikklikmlmtivnilanfbwxjn,5
0,mLLPwzQzQbcefehhijklklpkhdhhhxrqhsn,4
0,lLAvLAAQccbbhfggjjkkkhqjhxkrahhlc,3
0,mLALvAAMQbcbeihhgklkllhxjnnjcwarnkf,4
0,mLLPwzQzQbcefehhijklklpkhdhhhxrqhsr,4
0,nLLzAvMQAkaceegilijllkmmnkxctkhrkttwhw,5
0,nLLALPLLQkbdcefhhjkmmlmldwnxjxlvjapihk,5
0,nLALPvwQMkbcbegfjijllmlmxxnnuppgjauqgn,5
0,nLLPLAwAAkcdcehghijkklmmqsjpubulbatbxk,5
0,nLALPvwQMkbcbegfjijllmlmxxnnuppgjauqgj,5
0,nLALLzLMQkbcbeggjlklkmlmhxjnasltsgvlfw,5
0,oLLALPzwAQccbdeghgjjlmmnnntnnmfeonginoexi,6
0,nLALLPwQzkcbbegighkjklmmqhkvaivvvrndqw,5
0,nLLLPwMPMkceffgehkkjllmmuhtturblwsmqfr,5
0,nLLzwwAPQkcdcefhjjlklmmmhsrqkqqsxjamif,5
0,nLLPzLzPQkacedghilkjlmmmjkxsmxrhishskc,5
0,nLLzwwAPQkcdcefhjjlklmmmqsjqkqqsxjamif,5
0,oLAwwLwMAQcbcbdfjhjmlknnmnhhwqjjcbtdeduje,5
0,oLAwwLwMAQcbcbdfjhjmlknnmnxhnqjjcbtdeduje,5
