0,cPcbbbiht,0
1,fLLQcbcdeeepfrede,2
2,dLQbcccdero,0
3,eLPkbcddddcwjb,0
4,eLAkbccddmejln,0
5,gLLAQbcdeeffmbraaww,2
6,hLLAPkceddgfggtivngsbf,3
7,iLLLAQccdeffgghhdstatkkan,3
8,fLAMcbccdeemejdhn,0
9,fLAMcbccdeemejlhj,0
10,iLLLAQccdeffgghhdstatkkaj,3
11,hLLAAkbcdeefggmbraawqn,2
12,iLLLMQccdefggghhdstagkkjj,3
13,iLLLMQccdefggghhdstagkkjk,3
14,hLLLQkcdfefggghslpurff,2
15,hLLPMkcdefffggdvalargr,2
16,jLLLPMQceffhgiihipithhnaigh,4
17,hLLMPkbddefgggevkxrnbk,2
18,gLLAQbddefffevnmhgs,1
19,hLvMQkbefefgfgpamtmecw,2
20,jLLALMQbcdehgiihihkvhtgtphj,4
21,jLLPLPQccdefgihiipkravspivg,4
22,jLLALAQceddfghhiitivnscllfk,4
23,jLLMLMQcddefghiiiigvhgfmxvg,4
24,jLLAzPQccedghghiiubecjegeon,4
25,fLLQcbcdeeemgopdp,0
26,fLLQcbeddeeddgfua,0
27,hLvAQkcdefggfgdvutpbcf,2
28,hLvMQkbfdeggfgmifeibbw,2
29,gLALQbcbefffxxjntqt,0
30,gLALQbcbefffxxjntxp,0
31,jLLLAQPcdeffgghiidstatkkaqs,3
32,jLLLAQPcdeffgghiidstatkkaxk,3
33,iLALLQcbcbefhghhhhjsqfssb,2
34,jLLAPPPceddgfghiitivngsfuhn,3
35,jLLAPPPceddgfghiitivngsfuhr,3
36,iLvMQMcbefefgfhhpamtmechr,2
37,iLvMQMcbefefgfhhpamtmecqj,2
38,iLLLMQcbcgffhhghtsmarrovg,2
39,kLLALPMkbdedfihijjjlwaovdamjrr,4
40,jLLPwAQbcefehhihimjmhmqmqlj,3
42,kLLALMMkbcedhhgiijjtsxfpacacks,4
43,kLLALAMkacedhghijjjjktlljjiafb,4
46,kLLLLPQkbcgffjhijjitsmvslcbmps,4
47,iLLMzQcacdefghhhnkawbqefw,2
48,hLLMAkccdfefggibvmqntw,1
49,kLLLAwQkacdggfjiijjjkwvjkanwkf,4
50,hLLLQkbdgfefggtndqtgvg,1
51,gLLAQacdefffnkmxmxt,0
52,gLLAQacdefffnkmxixt,0
53,kLLzLPQkacefghhijjjjkxjatwvrjr,4
54,hLLLQkbdgfefgglndqtgvg,1
55,kLLALAPkacdegghjijjjkexpocmdvo,4
56,gLvQQbefdfefmexnaxk,0
57,hLLAAkbcdeffggmjkmqwaw,1
58,kLLALzQkacedhghjjijjktlloratrs,4
59,jLLLLQQcdeighghiiispnovogcv,3
60,jLLMLMQcddefghiiiigvhgfmivj,3
61,jLvALQQcdefhighiidvpjvkfovc,3
62,gLLMQbdeefffdwmapqs,0
63,kLLLMzQkbcdgghhijjjtsndwlexfks,4
64,kLLMLMAkcddefgihijjigvhgflhrej,4
65,jLLwLQQcddghhigiiigvkvwlbdm,3
66,iLvMAQcbfdgefghhmefhibnes,2
67,jLvAAMQbefeghgiiieduxaswlqp,3
68,gLLAQccedefflnegdww,0
