id,oriented,tetrahedra,flat count,negative count
iLMzMPcbcdefghhhhhhhhhqqa,1,8,0,0
jLLAMzQbcedfghiiilsajhxhhtp,0,9,1,0
jLLAMzQbcedfghiiilsasxqxqti,0,9,1,0
kLLLLPQkbegfjigijijxqtxqvgvxwa,0,10,1,0
kLLAMLPkbcedfgiijjjlsajhxbrqdq,0,10,2,0
kLLAMLPkbcedfghijjjlsasxqrrhlh,0,10,2,0
kLLALPMkccdehigijjjtnkaxlkagwk,0,10,2,0
kLLALLQkbcedhgiijjjlsajxjeqbrj,0,10,2,0
kLLAMzMkbcedfghijjjajhfxhxhhfj,0,10,2,0
kLLLMAPkcdgefhhjijjhshpbrrhlos,0,10,1,0
kLLLMPMkbefgfihhjjjxxdhpxbbmos,0,10,1,0
kLLLLPQkbegfjghhijjxxixxoskrxa,0,10,1,0
kLLAMzMkbcedfghijjjajhfhxhxhos,0,10,2,0
jLLLMAQcdgfefhiiihsxasssxxq,1,9,0,0
lLLALLAQcccdehgjhjkkktnkaxktmftat,0,11,2,0
lLLALPzQcccdehhgijkkktnkaxmkmglxp,0,11,2,0
lLLALLPQcbcedhhkjikjklsasqitxvgcc,0,11,2,0
lLLALLPQcbcedhihjkkjklsasqiixkgcc,0,11,2,0
lLLALAMPcccdefghijkkkakvhvnhqhhck,0,11,2,0
lLLALLPQcbcedhgjkikjklsajxjmngrkc,0,11,2,0
lLLALLMQcbcedhgiikjkklsajxjejwbrj,0,11,2,0
lLLALPwQcbcedhhgijkkklsajxejewtau,0,11,2,0
lLLAMvAQcbcedfgjikkjkajhfxhhjmqik,0,11,3,0
lLLAMvAQcbcedfgjikjkkasxfxhhjumuv,0,11,3,0
lLLALLPQcbcedhgjijkkklsajxjmwrrjc,0,11,2,0
lLLALLMQcbcedhgikjjkklsajxjegcbrr,0,11,2,0
lLLALLAQcbcedhghjjkkklsajxjemvdhd,0,11,2,0
lLLAMvAQcbcedfgjijkkkajhfxhhjequv,0,11,3,0
lLLAMvAQcbcedfgjjikkkajhfhxxijamv,0,11,3,0
lLLLALMQccdgffihkjkjkhshalpifjgbn,0,11,2,0
lLLLALPQccdgffihjikkkhshalphbojnj,0,11,2,0
lLLALzAQcbcedhijhkkjklsajxthevwvk,0,11,2,0
lLLLALAQccdgffijhkkjkhshalptpttbm,0,11,2,0
lLLLALMQccdgffijjikkkhshalpdbovfv,0,11,2,0
lLLALzMQcbcedhhjkikjklsajxehuknvj,0,11,2,0
lLLLAPMPccegfgighjkkkahaaphjjxqdm,0,11,3,0
lLLLMzMQccdgehhikjjkkhshpwfthhrjj,0,11,1,0
lLLLMLMQccdgfhjhkjkjkhshawishdcvk,0,11,2,0
lLLLLAPQccdghhiikkjjkhshrsrsluahw,0,11,2,0
lLLLMLMQccdgfhhikijkkhchqwfmharck,0,11,2,0
jLLLPAQcdgehffiiihshqjsjhha,1,9,0,0
lLLLLMQPccddhgjghikkktgfgcxvkehdl,0,11,2,0
lLLLMLAQccdgefhiijkkkhshpbsulxnsc,0,11,2,0
lLLALAMPcccdefghijkkkakvhvkqhqhkc,0,11,2,0
lLLLAPMPccegfgighjkkkaqaapqjshqlu,0,11,3,0
kLLALLQkccdehgihijjtnkaxkamfnk,0,10,1,0
kLLALPMkccdehhgiijjtnkaxmkaskk,0,10,1,0
kLLLwMQkbedgigjhiijhqfhqohjqxs,1,10,0,0
mLLLAwzQQcddeghkjkljlltgfmgmqgfpgpe,0,12,2,0
mLLLAwPPQcddeghkikllkltgfmgmqcwamrp,0,12,2,0
mLLLQLvQQcddegfikjlklltgfmrsiibxhdc,0,12,2,0
mLLALALMQccdefghkkjlllakvhvnhhmktxf,0,12,3,0
mLLAMLLPQbcedfghiklkllajhfhxojmvswc,0,12,3,0
mLLLAwzQQcddeghkjlljkltgfmgmqgmpgki,0,12,2,0
mLLLAwPPQcddeghkijlklltgfmgmqcsabph,0,12,2,0
mLLLQLzMQcddegfhjkllkltgfmgjtbhumuj,0,12,2,0
mLLALALPQccdefghkljkllakvhvnhhukumr,0,12,3,0
mLLAMLLPQbcedfghjkllklasxfxhoxxdvcj,0,12,3,0
mLLLMPLPQcddefihjlkklltgfmjhachsfuu,0,12,2,0
mLLLMPvQQcddefihkjkllltgfmjhafwguae,0,12,2,0
mLLLQLLMQcddegfhikkllltgfmgjtjepmxw,0,12,2,0
mLLLMPLPQcddefihjjlklltgfmjhacvafau,0,12,2,0
mLLLMPvQQcddefihkljlkltgfmjhaflruke,0,12,2,0
mLLLQvMPQcddegfhiklklltgfmrsijtqpmg,0,12,2,0
mLLLMPMzQbedefgihjklllaafdboeoqhhnv,0,12,3,0
mLLAvLMQQbcedgjikjlklllsajjejfkckwo,0,12,2,0
mLLALLzQQbcedhgjlkjlklasxfxnixwsaou,0,12,3,0
mLLALLwQQbcedhgjikllkllsajxjagwiujx,0,12,3,0
mLLAvLAQQccdegjhijkllltnnanuinwbtli,0,12,3,0
mLLALLwQQbcedhgiljlkklasxfxnuxbewnx,0,12,3,0
mLLALLwQQbcedhgjkkljlllsajxjawwhjue,0,12,3,0
kLLALPPkbcedhhgiijjlsajxejqkjj,0,10,1,0
mLLAvMAMQbcedigihjkllllsajdjaxomaco,0,12,3,0
mLLLPPzPQcddfhhgjklklltgfcgovhodfum,0,12,3,0
mLLAMLLMQbcedfghiklkllasxfhxfjecjrw,0,12,3,0
mLLALALAQccdefghkkjlllakvhvkqqdkatj,0,12,3,0
mLLALLMMQccdehgjkklklltnkaxktgwakll,0,12,4,0
mLLAMzLAQceddfghkkjlllahvnhhqqcchhx,0,12,4,0
mLLAMLLAQbcedfgiijkllllsqjqhvnqeamm,0,12,4,0
mLLALLMMQbcedhgijjlklllsajxjebrajqq,0,12,4,0
mLLAMLLAQbcedfgijkjllllsajhxbqaqnrr,0,12,4,0
mLLAvMPAQbcedigjijkllllsajmjmjnrxem,0,12,3,0
mLLALLzQQbcedhgjlklkklasxfxnixwxnoq,0,12,3,0
mLLALLMPQbcedhgjikllkllsajxjawwedja,0,12,3,0
mLLAvLMQQbcedgjikjlklllsajjejbfrorj,0,12,2,0
mLLALLwQQbcedhgiljkkllasxfxnuxbwwma,0,12,3,0
mLLALLMPQbcedhgjkkljlllsajxjagwqjdi,0,12,3,0
kLLALLQkbcedhghiijjlsajxjeqkjj,0,10,1,0
mLLAvLMQQbcediihikkllllsajxqdjovfgf,0,12,3,0
mLLLPPzAQcddfhhgjjkllltgfcgovhsoaih,0,12,3,0
mLLAMLLPQbcedfghjklkllajhfxhfhxlbcw,0,12,3,0
mLLALALPQccdefghkjllklakvhvkqqkdddw,0,12,3,0
mLLALLPMQccdehgijjlklltnkaxkmgwakaa,0,12,4,0
mLLAMLLAQccdefgijkjllltnkaqxgxaxjww,0,12,4,0
mLLALLPMQbcedhgjkklklllsajxjmrbajtt,0,12,4,0
mLLAMvMAQbcedfghikjllllsajhxknuaaxx,0,12,4,0
mLLMvMwQQbcefihjjlklkllsamxgmptsvwb,0,12,2,0
mLLLLMwQQcdgfhhikjlkllhshksvstedrow,0,12,2,0
mLLLALwQQcdgffihkjlkllhshalpirkpjpe,0,12,3,0
mLLMvMLQQcdedghiklkllkukhfvtsgofvww,0,12,3,0
mLLLALLQQcdgffikjljkllhshalpcknkjjv,0,12,3,0
mLLAvPPMQccdehghkjllkltnnaxnpsnteni,0,12,3,0
mLLLLMAPQcddhgjghlkklltgfgcxvkujrhh,0,12,3,0
mLLMvwAQQbcefijjkjllkllsamxmpmphgjf,0,12,3,0
mLLLLMMPQcdgfhhijjklllhshksvslelnco,0,12,2,0
mLLLALzQQcdgffihkjlkllhshalppbkpfpt,0,12,3,0
mLLMvAMPQbcefighjkllkllsamxcsmcvkfo,0,12,2,0
mLLLALLQQcdgffiljkjlklhshalpkkvkffv,0,12,3,0
mLLAvMLQQbcedihlikjlkllsajdaujjbbbo,0,12,3,0
mLLLLMAMQcddhgjghjkllltgfgcxvkfjpim,0,12,3,0
mLLLPAMzQbedhffgijklllaafxjjohxhhso,0,12,4,0
mLLLMLLQQcdgefhkjjklllhshpbsmxonscj,0,12,2,0
mLLLwALQQbedgihllkjjklxxwxxrqhhbrww,0,12,3,0
mLLLALzQQcdgfeikjijlllhchqqahrbgxmd,0,12,2,0
mLLLMPzPQcdgefhijkklllhshpbruhrrcnv,0,12,3,0
mLLvLPAQQbefkgijljlklkxxxxosjdfalqm,0,12,2,0
mLLLLAMPQcegeihhkjllklqaqqkwsqpxwkw,0,12,3,0
mLLLAwwQQbedgfhiljklklxxwxxxaxnkukm,0,12,3,0
mLLLMPzPQcdgefhijllkklhshpbruhggncc,0,12,3,0
kLLLMPMkacfggighjjjnkgojhguqmd,0,10,1,0
kLLLPMAkcdgehfiiijjqsqqfjqqaxj,1,10,0,0
mLLLMLAAQcdgefhjhkjlllhshpbsdkgftli,0,12,2,0
mLLLMzQLQcdgefiihjlkllhshpbaiolunix,0,12,2,0
mLLAvAMAQccdeihhkijlllakvhlpihfoqmd,0,12,3,0
mLLLPMPzQbdfehghjikllltvatrfkqhhqnc,0,12,3,0
mLLLMzMMQcdgefiikjjlllhshpbaialbwov,0,12,2,0
mLLLMLPMQcdgefhhijlkllhshpbsklfdbxe,0,12,2,0
mLLLLLAQQceghihjlijkllhahdbbmhfhvnv,0,12,3,0
mLLLMPMzQbedefgihjklllaafdbotjhqhvn,0,12,3,0
mLLLLPMMQcegfjhjkiljllqaqtavpqgdhof,0,12,3,0
mLLLMPMzQcdgfgfihjklllagaanfmsqqqfo,0,12,3,0
mLLLPAMzQbedhffgijklllaafhjjoxhxhjf,0,12,4,0
lLLMLLMQcacdehgjkikjknkanqmoageoe,0,11,1,0
lLLMLLPQcacdehgijikkknkanqmgncame,0,11,1,0
lLLLQLPPccddegfijijkktgfmrsibjbtj,0,11,1,0
lLLALMPMcbcedhghiijkklsasqgixsrxr,0,11,1,0
lLLAMLLQcccdefgiijjkkanvqqhvnqqcn,0,11,2,0
lLLMLLMQcacdehgjjkkkjnkanqmosqemo,0,11,1,0
lLLMLLPQcacdehgikjjkknkanqmguvnae,0,11,1,0
lLLLQvQMccddegfhjijkktgfmrsiwjwtj,0,11,1,0
lLLALAMMcccdehghiijkktnkaxgmqkwqw,0,11,1,0
jLLLMQPcdgfgfghiihsxarsgshk,1,9,0,0
nLLLAwvQQkcddeghjmklmlmltgfmgmgmnwpktn,0,13,2,0
nLLALwMzQkccdefgjikmllmmakvhvnqspalbrr,0,13,3,0
nLLLvAQwQkbcfgjiihkmlmlmebpwqvvfpffsrj,0,13,2,0
nLLLLzAAQkcddhhjilimklmmtgfgvtaqieffmu,0,13,2,0
nLLLAwzMQkcddeghkijmlmlmtgfmgmqfkdilek,0,13,3,0
nLLLAwwPQkcddeghilkmlmlmtgfmgmlmjmppqh,0,13,3,0
nLLALwMLQkccdefgjilklmmmakvhvnqslqxrsv,0,13,3,0
nLLLAwzAQkcddeghkilmklmmtgfmgmqfmtrilg,0,13,3,0
lLLLQvAQccddegfijijkktgfmgjtbjwij,0,11,1,0
nLLLAwQLPkcddeghjiikmlmmtgfmgmxhcmkfok,0,13,3,0
nLLLMLMLQkcddefhjjmlklmmtgfmjahktesaxw,0,13,3,0
nLLALALwQkccdefghiklmmlmakvhvnhnaqdrbk,0,13,3,0
nLLALALzQkccdefghjjlmlmmakvhvkqkkdffbb,0,13,3,0
nLLALLLQMkbcedhhjiljkmmmlsasqixvvccatt,0,13,4,0
nLLALAMLPkccdefghijklmmmakvhvnhqhccxqq,0,13,4,0
nLLALLAPPkccdehgjhklkmmmtnkaxktmtatfff,0,13,4,0
nLLLALAzQkcegfgghjjlmlmmaqaapjslneiqqf,0,13,4,0
nLLLALMPPkcegfgghiklmlmmaqaapjslbqpepn,0,13,4,0
nLLLAwvQQkcddeghlmmklmkltgfmgmvmporpjn,0,13,3,0
nLLALwMzQkccdefgjikkmlmmakvhvnqspeqbrs,0,13,3,0
nLLLvAQwQkbcfgjiihklkmmmebpwqvvfpocscj,0,13,2,0
nLLLLzAAQkcddhhjililkmmmtgfgvtaqiwfqmd,0,13,2,0
nLLLAwzMQkcddeghkijmllmmtgfmgmqfkdiimc,0,13,3,0
nLLLAwLPQkcddeghijkmlmlmtgfmgmcsgmwtnu,0,13,2,0
nLLALwMLQkccdefgjilmkmlmakvhvnqsluarnv,0,13,3,0
nLLLAwzAQkcddeghkilkmlmmtgfmgmqfmbpimg,0,13,3,0
lLLLQLPPccddegfhjijkktgfmgjtbjwij,0,11,1,0
nLLLAwMAPkcddeghjkjkmlmmtgfmgmmfgntufb,0,13,3,0
nLLLMLzQPkcddefhiilkmmlmtgfmjamruvuuav,0,13,3,0
nLLALALPPkccdefghijlmlmmakvhvnhnktrcjj,0,13,3,0
nLLALALLQkccdefghjlmkmlmakvhvkqkdhabbc,0,13,3,0
nLLALvPMQkbcedhhjljmlmmllsasqixkcaciic,0,13,4,0
nLLALPzzQkccdehhgikmklmmtnkaxmkmlapwgg,0,13,4,0
nLLLALMMPkcegfgghijlmlmmaqaapjslnuaupb,0,13,4,0
