id,oriented,tetrahedra,flat count,negative count
BLLLMAMzMzMzMzMzMzQcdgfefhijklmnopqrstuvwxyzAAAasaassoaaaaaaaaaaaaaaaaaaamm,0,27,23,0
ALLLAPzMMzMzMzMzMPcbefgfihjkljmnopqrstuvwxyzzzaadldafhaakaaaaaaaaaaaaaatt,0,26,21,0
CLLLwMAMMzMzMzMzMzMkbedgigjhkljmnopqrstuvwxyzABBBaafhaohfaasaaaaaaaaaaaaaaaaii,0,28,23,0
yLMzMzMzMzMzMzMzQbcdefghijklmnopqrstuvwxxxaaaaaaaaaaaaaaaaaaaaahxpi,0,24,22,0
CLLLwMQzMzMzMzMzMzMkbedgigjhhklmnopqrstuvwxyzABBBaafhaoajkaaaaaaaaaaaaaaaaaass,0,28,24,0
BLLLwAAMPzMzMzMzMzQbdfggijhklmknopqrstuvwxyzAAAhgahbaawxaajaaaaaaaaaaaaaann,0,27,21,0
BLLLwQzMMzMzMzMzMzQbedfighjkljmnopqrstuvwxyzAAAaafhasjhaakaaaaaaaaaaaaaaajj,0,27,22,0
DLLLwMAMMzMzMzMzMzMPcbedgijghkljmnopqrstuvwxyzABCCCaafhahjjaanaaaaaaaaaaaaaaaaajj,0,29,24,0
BLLAMzMzMzMzMzMzMzQbcedfghijklmnopqrstuvwxyzAAAlsajaaaaaaaaaaaaaaaaaaaaaadd,0,27,24,0
DLLLMAMzMzMzMzMzMzMPccdgfefhijklmnopqrstuvwxyzABCCCasaassoaaaaaaaaaaaaaaaaaaaaamm,0,29,25,0
CLLLAPzMMzMzMzMzMzMkbefgfihjkljmnopqrstuvwxyzABBBaadldafhaakaaaaaaaaaaaaaaaatt,0,28,23,0
ELLLwMAMMzMzMzMzMzMzQbedgigjhkljmnopqrstuvwxyzABCDDDaafhaohfaasaaaaaaaaaaaaaaaaaaii,0,30,25,0
ALMzMzMzMzMzMzMzMPcbcdefghijklmnopqrstuvwxyzzzaaaaaaaaaaaaaaaaaaaaaaahxet,0,26,24,0
ELLLwMQzMzMzMzMzMzMzQbedgigjhhklmnopqrstuvwxyzABCDDDaafhaoajkaaaaaaaaaaaaaaaaaaaass,0,30,26,0
DLLLwAAMPzMzMzMzMzMPcbdfggijhklmknopqrstuvwxyzABCCChgahbaawxaajaaaaaaaaaaaaaaaann,0,29,23,0
DLLLwQzMMzMzMzMzMzMPcbedfighjkljmnopqrstuvwxyzABCCCaafhasjhaakaaaaaaaaaaaaaaaaajj,0,29,24,0
FLLLwMAMMzMzMzMzMzMzMkbedgijghkljmnopqrstuvwxyzABCDEEEaafhahjjaanaaaaaaaaaaaaaaaaaaajj,0,31,26,0
DLLAMzMzMzMzMzMzMzMPcbcedfghijklmnopqrstuvwxyzABCCClsajaaaaaaaaaaaaaaaaaaaaaaaadd,0,29,26,0
FLLLMAMzMzMzMzMzMzMzMkcdgfefhijklmnopqrstuvwxyzABCDEEEasaassoaaaaaaaaaaaaaaaaaaaaaaamm,0,31,27,0
ELLLAPzMMzMzMzMzMzMzQbefgfihjkljmnopqrstuvwxyzABCDDDaadldafhaakaaaaaaaaaaaaaaaaaatt,0,30,25,0
GLLLwMAMMzMzMzMzMzMzMPcbedgigjhkljmnopqrstuvwxyzABCDEFFFaafhaohfaasaaaaaaaaaaaaaaaaaaaaii,0,32,27,0
CLMzMzMzMzMzMzMzMzMkbcdefghijklmnopqrstuvwxyzABBBaaaaaaaaaaaaaaaaaaaaaaaaahxpi,0,28,26,0
GLLLwMQzMzMzMzMzMzMzMPcbedgigjhhklmnopqrstuvwxyzABCDEFFFaafhaoajkaaaaaaaaaaaaaaaaaaaaaass,0,32,28,0
FLLLwAAMPzMzMzMzMzMzMkbdfggijhklmknopqrstuvwxyzABCDEEEhgahbaawxaajaaaaaaaaaaaaaaaaaann,0,31,25,0
FLLLwQzMMzMzMzMzMzMzMkbedfighjkljmnopqrstuvwxyzABCDEEEaafhasjhaakaaaaaaaaaaaaaaaaaaajj,0,31,26,0
HLLLwMAMMzMzMzMzMzMzMzQbedgijghkljmnopqrstuvwxyzABCDEFGGGaafhahjjaanaaaaaaaaaaaaaaaaaaaaajj,0,33,28,0
